dataset_id,contrast,lineage,program_id,score_method,cell_gate,analysis_tier,coverage_tier,n_control,n_case,mean_control,mean_case,mean_difference,pooled_sd,cohens_d,hedges_g,robust_se_g_hc3,robust_ci95_low,robust_ci95_high,conventional_se_g,conventional_ci95_low,conventional_ci95_high,permutation_p_two_sided,permutation_mode
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_1,singscore,30,primary,primary,5,4,0.6562530668324119,0.7404447280350795,0.08419166120266763,0.08110741304378055,1.0380267110383887,0.9226904098119011,0.6858268569433502,-0.42153022979706534,2.2669110494208677,0.7147106103851132,-0.4781423865429206,2.3235232061667226,0.1746031746031746,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_1,standardized_mean,30,primary,primary,5,4,-0.792910365279164,-0.3044804819864937,0.48842988329267034,0.3509274769270264,1.391825705897167,1.2371784052419261,0.6862100849168726,-0.10779336119514427,2.5821501716789967,0.7478832226642337,-0.2286727111799718,2.703029521663824,0.07142857142857142,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_2,singscore,30,primary,primary,5,4,0.508993673003841,0.6078539421906191,0.09886026918677804,0.08381985892955622,1.1794373129387161,1.048388722612192,0.6389907513368845,-0.20403315000810163,2.3008105952324858,0.7269858965865462,-0.37650363469743864,2.4732810799218226,0.11904761904761904,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_2,standardized_mean,30,primary,primary,5,4,-0.222576751853015,0.4058623890144243,0.6284391408674392,0.23891217061676362,2.6304191169712805,2.338150326196694,0.6410181193140562,1.0817548123411438,3.594545840052244,0.9167858040806676,0.5412501501985854,4.135050502194803,0.007936507936507936,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_3,singscore,30,primary,primary,5,4,0.607188457701703,0.6875089067607892,0.0803204490590862,0.06812341698343251,1.1790431633606986,1.048038367431732,0.6666467708849143,-0.25858930350270004,2.354666038366164,0.7269498125538443,-0.3767832651738028,2.472860000037267,0.14285714285714285,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_3,standardized_mean,30,primary,primary,5,4,-0.6077988123537402,-0.03626226313132201,0.5715365492224183,0.2704214094271975,2.1135033296107664,1.878669626320681,0.7348265847208145,0.4384095202678846,3.318929732373477,0.8379140581936572,0.23635807226111294,3.5209811803802493,0.023809523809523808,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_4,singscore,30,primary,primary,5,4,0.5551214294459157,0.5925386454285954,0.037417215982679664,0.08814128130849473,0.4245140917763528,0.377345859356758,0.7264670121576722,-1.0465294844722794,1.8012212031857955,0.6783588334867833,-0.9522374542773371,1.7069291729908531,0.5,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_4,standardized_mean,30,primary,primary,5,4,-0.5133888732314519,-0.24101698516677705,0.2723718880646748,0.3568705180664603,0.7632232820474981,0.6784206951533316,0.7477902699174325,-0.7872482338848361,2.1440896241914995,0.6948923164065643,-0.6835682450035345,2.0404096353101977,0.2777777777777778,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_5,singscore,30,primary,primary,5,4,0.6966379868501447,0.6610411309149271,-0.03559685593521755,0.08296820243147542,-0.4290421497876549,-0.38137079981124883,0.6933992381359613,-1.7404333065577329,0.9776917069352353,0.6785195905661442,-1.7112691973208913,0.9485275976983938,0.5396825396825397,exact_126_allocations
GSE256398_human,alcohol_cirrhosis_vs_alcohol_hepatitis,endothelial,RAM2019_ENDO_5,standardized_mean,30,primary,primary,5,4,0.11192405327911965,0.05896744002133228,-0.052956613257787374,0.3318193286684322,-0.15959472123067261,-0.14186197442726453,0.6899148131084262,-1.4940950081197797,1.2103710592652508,0.6718909786027366,-1.4587682924886283,1.1750443436340994,0.8174603174603174,exact_126_allocations
